mission_id,step,timestamp,row,col,speed_kmh,battery_percent,distance
MISSION-001,0,2026-08-17 23:53:09,0,0,45,100,0
MISSION-001,1,2026-08-17 23:53:09,1,0,45,98,1
MISSION-001,2,2026-08-17 23:53:10,1,1,45,96,2
MISSION-001,3,2026-08-17 23:53:10,1,2,45,94,3
MISSION-001,4,2026-08-17 23:53:11,1,3,45,92,4
MISSION-001,5,2026-08-17 23:53:11,1,4,45,90,5
MISSION-001,6,2026-08-17 23:53:12,1,5,45,88,6
MISSION-001,7,2026-08-17 23:53:12,1,6,45,86,7
MISSION-001,8,2026-08-17 23:53:13,2,6,45,84,8
MISSION-001,9,2026-08-17 23:53:13,2,7,45,82,9
MISSION-001,10,2026-08-17 23:53:14,2,8,45,80,10
MISSION-001,11,2026-08-17 23:53:14,3,8,45,78,11
MISSION-001,12,2026-08-17 23:53:15,4,8,45,76,12
MISSION-001,13,2026-08-17 23:53:15,4,9,45,74,13
MISSION-001,14,2026-08-17 23:53:16,5,9,45,72,14
MISSION-001,15,2026-08-17 23:53:17,6,9,45,70,15
MISSION-001,16,2026-08-17 23:53:17,7,9,45,68,16
MISSION-001,17,2026-08-17 23:53:18,8,9,45,66,17
MISSION-001,18,2026-08-17 23:53:18,9,9,0,64,18
